가파, 92, 183
자타, 90, 172
타차, 96, 168
가라, 47, 188
바아, 40, 147
자아, 49, 144
자파, 56, 168
사바, 95, 179
나마, 48, 154
나나, 78, 148
나가, 74, 161
사사, 57, 199
타타, 96, 163
가타, 43, 144
카파, 57, 149
바차, 60, 164
파차, 79, 163
라아, 44, 194
바바, 64, 179
아사, 95, 172
자카, 42, 188
파마, 68, 199
타나, 90, 172
마차, 58, 188
하바, 56, 188
다라, 87, 141
사자, 71, 169
차타, 40, 151
가아, 60, 199
타사, 42, 178
바나, 54, 165
다나, 87, 176
파사, 54, 174
라마, 98, 142
사다, 62, 186
사파, 62, 194
파가, 83, 149
마나, 65, 172
사마, 67, 179
자마, 48, 148
라사, 49, 191
하카, 81, 186
카다, 88, 197
나라, 60, 155
아차, 81, 178
바가, 69, 153
자마, 86, 176
차다, 42, 156
하하, 85, 183
자나, 65, 162
마차, 85, 165
하차, 82, 161
하바, 56, 175
바가, 62, 182
바카, 93, 140
다파, 45, 146
나다, 41, 146
바바, 42, 149
자아, 86, 175
타자, 72, 168
사마, 84, 169
파아, 60, 160
자사, 73, 177
라아, 86, 196
자차, 58, 142
카자, 45, 163
마파, 40, 149
차라, 55, 195
하마, 62, 181
나가, 68, 140
차자, 79, 171
가라, 79, 194
다차, 67, 174
다파, 50, 173
타마, 59, 175
나라, 86, 186
가차, 87, 166
다바, 83, 157
사아, 67, 162
다하, 76, 194
사자, 47, 171
나사, 50, 174
아아, 90, 146
아다, 76, 162
하마, 90, 151
라타, 78, 190
나아, 51, 154
자아, 41, 149
차타, 88, 155
라타, 85, 169
카바, 65, 185
차아, 55, 171
나파, 87, 192
나라, 66, 179
차차, 59, 163
사타, 65, 167
차사, 78, 179
마다, 44, 148
타바, 82, 174
아바, 40, 173
사라, 74, 181
아다, 62, 154
가하, 55, 173
라다, 40, 175
라차, 75, 150
타타, 78, 161
바마, 46, 177
아하, 71, 167
다자, 79, 199
라가, 40, 184
마아, 92, 182
바하, 78, 182
사나, 40, 154
바사, 93, 185
나파, 49, 175
마카, 52, 181
하사, 65, 172
나바, 41, 162
아자, 98, 192
다라, 83, 154
자나, 59, 149
자파, 92, 198
차카, 82, 140
다라, 47, 151
아다, 76, 149
아마, 42, 185
마타, 88, 146
나하, 74, 154
자하, 81, 162
가마, 64, 196
타아, 61, 175
파다, 41, 146
나바, 79, 164
다자, 66, 175
가자, 81, 176
차사, 62, 190
타다, 85, 150
다다, 82, 180
타마, 98, 180
아아, 75, 183
하차, 85, 179
라차, 69, 162
파사, 72, 175
나하, 63, 152
마타, 84, 181
바바, 40, 173
다하, 95, 167
아나, 75, 197
바차, 92, 173
사파, 45, 172
하마, 89, 193
차나, 51, 157
하자, 82, 192
나나, 63, 199
바마, 95, 183
나바, 79, 157
나나, 89, 168
하다, 98, 151
자사, 76, 141
가라, 87, 189
바바, 82, 157
하다, 42, 164
가라, 57, 158
아차, 79, 149
나나, 73, 188
사하, 52, 156
라차, 60, 142
타바, 69, 175
바라, 51, 180
자아, 68, 176
하자, 40, 175
사라, 55, 158
차하, 69, 179
카자, 48, 180
하차, 45, 195
카타, 67, 177
차라, 85, 193
파차, 75, 147
다라, 71, 184
바나, 61, 147
라바, 67, 172
바카, 83, 175
파가, 89, 148
사하, 67, 179
다파, 74, 194
마사, 70, 147
카타, 42, 172
카가, 57, 181
나카, 48, 159
마마, 72, 187
바타, 81, 196
차카, 71, 186
차파, 80, 167
나하, 56, 180
나사, 97, 191
나라, 44, 144
가차, 48, 154
마가, 69, 183
타마, 84, 175
아차, 75, 187
라차, 64, 142
라파, 50, 176
라자, 79, 154
아사, 48, 161
자파, 66, 164
바카, 86, 146
바타, 93, 158
파다, 67, 187
가라, 68, 180
다차, 76, 183
타하, 56, 154
가나, 42, 197
나타, 59, 163
마자, 57, 166
가하, 81, 161
바다, 51, 182
라아, 51, 175
사하, 75, 189
사카, 98, 153
하마, 74, 192
카바, 89, 178
타자, 63, 155
아파, 59, 150
자하, 81, 161
타마, 87, 159
아자, 81, 186
마하, 76, 158
라카, 96, 157
하다, 69, 188
하라, 84, 181
타타, 41, 168
차가, 90, 181
카타, 69, 176
바사, 60, 177
다차, 82, 168
차파, 49, 199
타하, 75, 150
차다, 81, 159
차라, 95, 196
사나, 71, 162
라자, 49, 187
파타, 66, 168
바바, 96, 176
사아, 70, 197
가가, 88, 142
바차, 49, 199
자바, 46, 158
바라, 58, 181
아나, 76, 190
다나, 57, 152
다나, 54, 163
사나, 74, 184
파하, 76, 165
마사, 69, 179
가바, 77, 142
아가, 46, 175
사카, 83, 167
카바, 77, 171
라바, 72, 177
타아, 41, 181
가파, 74, 184
마자, 74, 170
라라, 81, 176
가아, 71, 183
마사, 63, 178
차바, 90, 165
나타, 87, 191
사파, 72, 186
카하, 65, 160
가하, 73, 193
바카, 87, 172
타라, 71, 182
자카, 64, 141
가아, 78, 142
라차, 79, 140
카나, 86, 163
카하, 92, 169
카다, 96, 192
파아, 94, 186
바하, 71, 174
라자, 49, 177
하하, 94, 195
마가, 41, 147
마파, 40, 151
마가, 96, 142
자차, 70, 141
하차, 98, 159
하타, 49, 143
마하, 90, 143
나자, 96, 140
타자, 85, 169
파아, 89, 191
자사, 40, 141
라다, 96, 188
파사, 76, 189
라다, 76, 180
하타, 78, 157
파하, 68, 169
차가, 73, 188
아파, 65, 185
나바, 84, 190
사마, 92, 193
자자, 50, 176
아사, 46, 147
마마, 71, 141
사차, 49, 172
사가, 99, 155
라자, 40, 157
가마, 72, 141
나차, 70, 161
라사, 46, 171
하차, 42, 187
차하, 68, 193
바카, 76, 197
파사, 67, 192
나차, 46, 144
자나, 90, 162
다차, 94, 142
사자, 80, 190
아라, 90, 179
다하, 78, 191
나라, 93, 156
타나, 99, 198
바가, 54, 187
마타, 50, 169
바파, 47, 156
아바, 85, 183
카바, 46, 146
카나, 79, 153
차나, 91, 195
라자, 55, 156
타바, 98, 177
나마, 66, 176
다바, 85, 192
하마, 49, 156
라라, 71, 194
사아, 54, 182
차다, 69, 173
다자, 78, 156
아사, 47, 171
사마, 80, 181
차하, 80, 189
다가, 72, 192
나차, 84, 161
자타, 70, 154
바하, 97, 158
아자, 91, 159
가나, 63, 173
나라, 40, 198
차사, 42, 174
다카, 92, 161
마카, 43, 158
다아, 57, 196
바바, 43, 183
차사, 59, 191
마자, 97, 189
자라, 57, 197
나라, 88, 161
하카, 52, 151
가차, 46, 141
자자, 98, 162
바아, 58, 181
다하, 99, 142
가차, 66, 164
나자, 65, 147
바타, 44, 185
마자, 88, 176
라차, 40, 185
사마, 75, 152
가카, 47, 144
하차, 87, 153
자라, 59, 190
하마, 95, 179
바카, 75, 188
자바, 57, 176
라라, 78, 152
마다, 62, 156
타아, 43, 196
사라, 85, 151
차하, 45, 148
아다, 67, 153
타사, 70, 149
하가, 64, 197
사차, 69, 140
바라, 62, 196
하나, 73, 161
마라, 83, 178
다나, 88, 198
마다, 65, 154
카차, 96, 199
가가, 94, 168
자바, 85, 163
사카, 43, 163
나나, 94, 161
사타, 96, 170
라바, 50, 193
가사, 81, 153
파가, 87, 147
파카, 51, 195
